car_make,car_model,vehicle_type,classification_method,evidence,source_url,verification_status
Audi,Rs5,Coupe,llm-knowledge,RS5 coupe (Sportback variant exists).,,LLM-reviewed
Audi,Rs6,Wagon / Estate,llm-knowledge,RS6 Avant estate.,,LLM-reviewed
Audi,S3,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:2.,,LLM-reviewed
Audi,S4,Sedan,llm-knowledge,Performance saloon.,,LLM-reviewed
Audi,S5,Sedan,llm-knowledge,Sportback dominates MY; coupe variant exists.,,LLM-reviewed
Audi,S6,Sedan,llm-knowledge,Performance saloon.,,LLM-reviewed
Audi,S7,Sedan,llm-knowledge,Sportback fastback.,,LLM-reviewed
Audi,Sq5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Audi,Tt,Sports car,llm-knowledge,Compact sports coupe/roadster.,,LLM-reviewed
Audi,Ttrs,Sports car,llm-knowledge,Compact sports coupe.,,LLM-reviewed
Audi,Tts,Sports car,llm-knowledge,Compact sports coupe.,,LLM-reviewed
Austin,7,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Austin,A50,Sedan,llm-knowledge,Cambridge saloon.,,LLM-reviewed
Austin,Healey Sprite,Convertible / Roadster,llm-knowledge,Classic open two-seater.,,LLM-reviewed
Austin,Mini,Hatchback,make/model heuristic,LLM pass concurs; DB majority Coupe:5.,,LLM-reviewed
Austin,Morris,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Baic,Bj40,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Bentley,Bentayga,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:36.,,LLM-reviewed
Bentley,Continental Gt,Coupe,llm-knowledge,2-door grand tourer.,,LLM-reviewed
Bentley,Continental Gt Speed,Coupe,llm-knowledge,2-door grand tourer.,,LLM-reviewed
Bentley,Continental Gtc,Convertible / Roadster,llm-knowledge,GTC = convertible Continental.,,LLM-reviewed
Bentley,Continental Supersports,Sports car,llm-knowledge,Performance flagship coupe.,,LLM-reviewed
Bentley,Flying Spur,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:29.,,LLM-reviewed
Bentley,Mulsanne,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Bentley,Turbo R Auto,Sedan,llm-knowledge,Turbo R performance saloon.,,LLM-reviewed
Bmw,1 M,Coupe,llm-knowledge,1M Coupe (E82).,,LLM-reviewed
Bmw,116I,Hatchback,llm-knowledge,1 Series hatchback; DB majority Hatchback.,,LLM-reviewed
Bmw,118I,Hatchback,llm-knowledge,1 Series hatchback; DB majority Hatchback.,,LLM-reviewed
Bmw,120I,Hatchback,llm-knowledge,1 Series hatchback; DB majority Hatchback.,,LLM-reviewed
Bmw,130I,Hatchback,llm-knowledge,1 Series hatchback.,,LLM-reviewed
Bmw,135I,Hatchback,llm-knowledge,MY listings mostly hatch (coupe variant exists).,,LLM-reviewed
Bmw,218I Active Tourer,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Sedan:118.,,LLM-reviewed
Bmw,220I,MPV / Minivan,llm-knowledge,MY 220i sold as Active/Gran Tourer; DB majority MPV.,,LLM-reviewed
Bmw,235I,Coupe,llm-knowledge,M235i 2 Series coupe.,,LLM-reviewed
Bmw,316I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:68.,,LLM-reviewed
Bmw,318Ci,Coupe,llm-knowledge,Ci = E46 coupe.,,LLM-reviewed
Bmw,318I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:167.,,LLM-reviewed
Bmw,320Ci,Coupe,llm-knowledge,Ci = E46 coupe.,,LLM-reviewed
Bmw,320D,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:26.,,LLM-reviewed
Bmw,320D Gt,Sedan,llm-knowledge,"3 Series GT liftback, sedan profile.",,LLM-reviewed
Bmw,320I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:578.,,LLM-reviewed
Bmw,323I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:17.,,LLM-reviewed
Bmw,325Ci,Coupe,llm-knowledge,Ci = E46 coupe.,,LLM-reviewed
Bmw,325I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:31.,,LLM-reviewed
Bmw,328Ci,Coupe,llm-knowledge,Ci = E46 coupe.,,LLM-reviewed
Bmw,328I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:107.,,LLM-reviewed
Bmw,328I Gt,Sedan,llm-knowledge,"3 Series GT liftback, sedan profile.",,LLM-reviewed
Bmw,330Ci,Coupe,llm-knowledge,Ci = E46 coupe.,,LLM-reviewed
Bmw,330E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:191.,,LLM-reviewed
Bmw,330I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:252.,,LLM-reviewed
Bmw,330Li,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:32.,,LLM-reviewed
Bmw,335Ci,Coupe,llm-knowledge,Ci = E92 coupe.,,LLM-reviewed
Bmw,335I,Sedan,make/model heuristic,LLM pass concurs; DB majority Coupe:3.,,LLM-reviewed
Bmw,340I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:34.,,LLM-reviewed
Bmw,420I,Coupe,llm-knowledge,4 Series coupe (Gran Coupe/convertible variants exist).,,LLM-reviewed
Bmw,428I,Coupe,llm-knowledge,4 Series coupe.,,LLM-reviewed
Bmw,428I Gran Coupe,Sedan,llm-knowledge,Gran Coupe = 4-door fastback.,,LLM-reviewed
Bmw,430I,Coupe,llm-knowledge,4 Series coupe.,,LLM-reviewed
Bmw,435I,Coupe,llm-knowledge,4 Series coupe.,,LLM-reviewed
Bmw,440I,Coupe,llm-knowledge,4 Series coupe.,,LLM-reviewed
Bmw,520D,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:29.,,LLM-reviewed
Bmw,520I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:165.,,LLM-reviewed
Bmw,523I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:94.,,LLM-reviewed
Bmw,525I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:65.,,LLM-reviewed
Bmw,528I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:133.,,LLM-reviewed
Bmw,530D,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Bmw,530E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:204.,,LLM-reviewed
Bmw,530I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:283.,,LLM-reviewed
Bmw,535I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:11.,,LLM-reviewed
Bmw,630Ci,Coupe,llm-knowledge,6 Series coupe.,,LLM-reviewed
Bmw,630I,Sedan,llm-knowledge,MY 630i mostly 6 Series GT liftback.,,LLM-reviewed
Bmw,640Ci,Coupe,llm-knowledge,6 Series coupe.,,LLM-reviewed
Bmw,640I Gran Coupe,Sedan,llm-knowledge,Gran Coupe = 4-door fastback.,,LLM-reviewed
Bmw,645Ci,Coupe,llm-knowledge,6 Series coupe.,,LLM-reviewed
Bmw,650I,Coupe,llm-knowledge,6 Series coupe.,,LLM-reviewed
Bmw,728I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:4.,,LLM-reviewed
Bmw,730Li,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:43.,,LLM-reviewed
Bmw,735I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Bmw,740I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Bmw,740Le,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:96.,,LLM-reviewed
Bmw,740Li,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:31.,,LLM-reviewed
Bmw,750I,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:20.,,LLM-reviewed
Bmw,750Li,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Bmw,840I,Coupe,llm-knowledge,8 Series coupe (Gran Coupe variant exists); DB split 14/12.,,LLM-reviewed
Bmw,Activehybrid 3,Sedan,llm-knowledge,3 Series hybrid saloon.,,LLM-reviewed
Bmw,Alpina B3,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Bmw,E3,Sedan,llm-knowledge,Classic large saloon.,,LLM-reviewed
Bmw,I4,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:8.,,LLM-reviewed
Bmw,I5,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:12.,,LLM-reviewed
Bmw,I7,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:5.,,LLM-reviewed
Bmw,I8,Sports car,llm-knowledge,Plug-in hybrid sports car.,,LLM-reviewed
Bmw,Ix,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:46.,,LLM-reviewed
Bmw,Ix1,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Bmw,Ix2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Bmw,Ix3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Bmw,M140I,Hatchback,llm-knowledge,1 Series hot hatch.,,LLM-reviewed
Bmw,M2,Coupe,llm-knowledge,2-door M coupe.,,LLM-reviewed
Bmw,M3,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:33.,,LLM-reviewed
Bmw,M4,Coupe,llm-knowledge,2-door M coupe.,,LLM-reviewed
Bmw,M5,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:22.,,LLM-reviewed
Bmw,M6,Coupe,llm-knowledge,2-door M coupe.,,LLM-reviewed
Bmw,M6 Gran Coupe,Sedan,llm-knowledge,Gran Coupe = 4-door fastback.,,LLM-reviewed
Bmw,M8,Coupe,llm-knowledge,2-door M coupe.,,LLM-reviewed
Bmw,X1,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:335.,,LLM-reviewed
Bmw,X2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:8.,,LLM-reviewed
Bmw,X3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:252.,,LLM-reviewed
Bmw,X4,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:149.,,LLM-reviewed
Bmw,X4 M,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:9.,,LLM-reviewed
Bmw,X5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:407.,,LLM-reviewed
Bmw,X6,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:74.,,LLM-reviewed
Bmw,X6 M,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:17.,,LLM-reviewed
Bmw,X7,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:26.,,LLM-reviewed
Bmw,Z3,Convertible / Roadster,llm-knowledge,Roadster.,,LLM-reviewed
Bmw,Z4,Convertible / Roadster,llm-knowledge,Roadster.,,LLM-reviewed
Bmw,Z4 Coupe,Coupe,llm-knowledge,Fixed-roof Z4.,,LLM-reviewed
Bmw,Z4 M,Convertible / Roadster,llm-knowledge,M roadster (coupe variant exists).,,LLM-reviewed
Borgward,Bx5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Brabus,B50,Sedan,llm-knowledge,Brabus-tuned Mercedes saloon; DB all Sedan.,,LLM-reviewed
Byd,Atto 2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:6.,,LLM-reviewed
Byd,Atto 3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:22.,,LLM-reviewed
Byd,Dolphin,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:5.,,LLM-reviewed
Byd,M6,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Byd,Seal,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:37.,,LLM-reviewed
Byd,Seal 6,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:10.,,LLM-reviewed
Byd,Sealion 7,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:8.,,LLM-reviewed
Cadillac,Cts,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Cadillac,Escalade,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Cam,Kingo,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Cam,Placer-X,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:20.,,LLM-reviewed
Caterham,Seven,Sports car,llm-knowledge,Lightweight open sports car.,,LLM-reviewed
Chana,Era Star,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Chery,Eastar,MPV / Minivan,llm-knowledge,Eastar sold in MY as an MPV; DB unanimous MPV.,,LLM-reviewed
Chery,H5,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Chery,Maxime,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:4.,,LLM-reviewed
Chery,O5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:6.,,LLM-reviewed
Chery,Omoda,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:87.,,LLM-reviewed
Chery,Tiggo,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:83.,,LLM-reviewed
Chery,Tiggo Cross,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:13.,,LLM-reviewed
Chevrolet,Aveo,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:13.,,LLM-reviewed
Chevrolet,Camaro,Sports car,llm-knowledge,Muscle/pony car.,,LLM-reviewed
Chevrolet,Captiva,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Chevrolet,Colorado,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:8.,,LLM-reviewed
Chevrolet,Corvette,Sports car,llm-knowledge,Two-seat sports car.,,LLM-reviewed
Chevrolet,Cruze,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Chevrolet,Malibu,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:6.,,LLM-reviewed
Chevrolet,Nabira,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Chevrolet,Optra,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:6.,,LLM-reviewed
Chevrolet,Optra 5,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:2.,,LLM-reviewed
Chevrolet,Orlando,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Chevrolet,Sonic,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:3.,,LLM-reviewed
Chrysler,Crossfire,Sports car,llm-knowledge,Two-seat sports coupe.,,LLM-reviewed
Chrysler,Pt Cruiser,Hatchback,llm-knowledge,Compact 5-door.,,LLM-reviewed
Citroen,Berlingo,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Citroen,C3,SUV / Crossover,llm-knowledge,MY C3 listings are C3 Aircross; DB majority SUV.,,LLM-reviewed
Citroen,C4,Hatchback,llm-knowledge,C4 hatchback (MY listings may include Picasso MPVs).,,Needs source URL
Citroen,C5,Sedan,llm-knowledge,Large saloon/liftback.,,LLM-reviewed
Citroen,C8,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Citroen,Ds3,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Citroen,Ds4,Hatchback,llm-knowledge,Compact 5-door.,,LLM-reviewed
Citroen,Ds5,Hatchback,llm-knowledge,5-door liftback; DB majority Hatchback.,,LLM-reviewed
Citroen,Grand C4 Picasso,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Citroen,Xsara,Hatchback,llm-knowledge,Compact hatch (wagon existed).,,LLM-reviewed
Daihatsu,Ascent,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Daihatsu,Charade,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:9.,,LLM-reviewed
Daihatsu,Copen,Convertible / Roadster,llm-knowledge,Kei roadster.,,LLM-reviewed
Daihatsu,Feroza,SUV / Crossover,llm-knowledge,Compact 4x4.,,LLM-reviewed
Daihatsu,Gran Max,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:42.,,LLM-reviewed
Daihatsu,Hijet,Pickup / Truck,llm-knowledge,MY listings are kei trucks; DB all Pick-Up.,,LLM-reviewed
Daihatsu,Move,Hatchback,make/model heuristic,LLM pass concurs; DB majority Mpvs:27.,,LLM-reviewed
Daihatsu,Rocky,SUV / Crossover,llm-knowledge,Compact 4x4 / compact SUV.,,LLM-reviewed
Daihatsu,Taft,SUV / Crossover,llm-knowledge,Compact 4x4; DB majority SUV.,,LLM-reviewed
Daihatsu,Tanto,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:2.,,LLM-reviewed
Daihatsu,Wake,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Daimler,Limousine,Sedan,make default heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Datsun,100A,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Datsun,1600 Sss,Sedan,llm-knowledge,Datsun 1600 SSS saloon.,,Needs source URL
Datsun,240,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Datsun,5581,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Datsun,620,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:3.,,LLM-reviewed
Denza,D9,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:13.,,LLM-reviewed
Dodge,Challenger,Sports car,llm-knowledge,"Muscle coupe, not an SUV.",,LLM-reviewed
Dodge,Nitro,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:2.,,LLM-reviewed
Dodge,Ram,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Dongfeng,007,Sedan,llm-knowledge,eP 007 electric fastback sedan.,,Needs source URL
Dongfeng,Box,Hatchback,llm-knowledge,Nammi Box EV hatchback; DB majority Hatchback.,,LLM-reviewed
Dongfeng,Vigo,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Ds Automobiles,Ds 7 Crossback,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:8.,,LLM-reviewed
Ferrari,296,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,328 Gts,Sports car,llm-knowledge,Targa sports car.,,LLM-reviewed
Ferrari,355,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,360,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,430,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,458,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,488,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,812,Sports car,llm-knowledge,Front-engine V12 sports car.,,LLM-reviewed
Ferrari,California,Convertible / Roadster,llm-knowledge,Folding hard-top convertible GT.,,LLM-reviewed
Ferrari,F12,Sports car,llm-knowledge,Front-engine V12 sports car.,,LLM-reviewed
Ferrari,F8 Tributo,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Ferrari,Ff,Sports car,llm-knowledge,Shooting-brake GT.,,LLM-reviewed
Ferrari,Gtc 4 Lusso,Sports car,llm-knowledge,Shooting-brake GT.,,LLM-reviewed
Ferrari,Portofino,Convertible / Roadster,llm-knowledge,Folding hard-top convertible GT.,,LLM-reviewed
Ferrari,Purosangue,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:21.,,LLM-reviewed
Ferrari,Roma,Sports car,llm-knowledge,Front-engine GT coupe.,,LLM-reviewed
Ferrari,Sf90,Sports car,llm-knowledge,Hybrid supercar.,,LLM-reviewed
Fiat,Abarth,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:3.,,LLM-reviewed
Fiat,Bravo,Hatchback,llm-knowledge,Compact hatch.,,LLM-reviewed
Fiat,Coupe,Coupe,llm-knowledge,Fiat Coupe 2-door.,,LLM-reviewed
Fiat,Multipla,MPV / Minivan,llm-knowledge,Compact MPV.,,LLM-reviewed
Fiat,Punto,Hatchback,llm-knowledge,Supermini hatch.,,LLM-reviewed
Ford,Econovan,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:6.,,LLM-reviewed
Ford,Ecosport,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:17.,,LLM-reviewed
Ford,Escape,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:2.,,LLM-reviewed
Ford,Escort,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Ford,Everest,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:12.,,LLM-reviewed
Ford,F150,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:3.,,LLM-reviewed
Ford,Fiesta,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:73.,,LLM-reviewed
Ford,Focus,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:49.,,LLM-reviewed
Ford,Kuga,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:24.,,LLM-reviewed
Ford,Laser,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Ford,Lynx,Sedan,llm-knowledge,MY Laser sedan twin.,,LLM-reviewed
Ford,Mondeo,Sedan,llm-knowledge,MY Mondeo = saloon; DB majority Sedan.,,LLM-reviewed
Ford,Mustang,Sports car,llm-knowledge,Pony car (convertible variant exists).,,LLM-reviewed
Ford,Ranger,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:619.,,LLM-reviewed
Ford,S-Max,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:7.,,LLM-reviewed
Ford,Spectron,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Ford,Telstar,Sedan,llm-knowledge,MY Telstar saloon.,,LLM-reviewed
Ford,Transit,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Foton,View,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:32.,,LLM-reviewed
Gac,Gs3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Gac Aion,Y Plus,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Gac Motor,Emkoo,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
